sequence,short_hash,date,status,exe_size,iso_size,message
53,7b9e145e,2025-12-20T15:06:40-08:00,exe_only,45056,0,PS1: Single 256x240 tile rendering (WIP background)
54,eb61048e,2025-12-20T16:26:39-08:00,exe_only,45056,0,WIP: PS1 pixel-perfect background tiles - 2 of 3 tiles working
55,8a5594d3,2025-12-20T16:33:46-08:00,exe_only,45056,0,"PS1: Full top row pixel-perfect background (4 tiles, 638/640px)"
56,11bc2255,2025-12-20T16:39:31-08:00,exe_only,45056,0,PS1: Top row pixel-perfect background complete (WIP bottom row)
57,ae2540d3,2025-12-20T16:56:36-08:00,exe_only,45056,0,WIP: PS1 bottom row investigation - LoadImage to framebuffer works
58,71a54e36,2025-12-20T17:00:06-08:00,exe_only,47104,0,PS1: Fix bottom row corruption - handle variable-height SCR files
59,af7d6758,2025-12-20T17:02:02-08:00,exe_only,47104,0,PS1: Prefer 640x480 SCR for full-screen testing
60,f0272138,2025-12-20T17:07:08-08:00,exe_only,47104,0,PS1: Only decompress 640x480 SCRs for full-screen testing
61,f8431f81,2025-12-20T17:09:18-08:00,exe_only,47104,0,PS1: Full 640-pixel width for background tiles
62,7278b89a,2025-12-20T17:11:04-08:00,exe_only,47104,0,PS1: Simplify SCR selection in test code
63,5899a28d,2025-12-20T17:24:41-08:00,exe_only,45056,0,🎮 MILESTONE: Pixel-perfect 640x480 background on PS1!
64,8696ae3a,2025-12-20T17:36:43-08:00,exe_only,45056,0,🎬 PS1: Display INTRO.SCR title screen at startup
65,61f6f6ea,2025-12-20T17:41:02-08:00,exe_only,45056,0,PS1: Add ADS/TTM resource decompression at load time
66,06568f8e,2025-12-20T17:48:58-08:00,exe_only,69632,0,PS1: Scene playback progress - nighttime ocean scene working!
67,6cddbb23,2025-12-20T17:51:48-08:00,exe_only,69632,0,PS1: Remove debug orange screen from resource parsing
68,57d26ad3,2025-12-20T17:58:42-08:00,exe_only,69632,0,PS1: Add texture page support for sprite rendering
69,467eab27,2025-12-20T18:01:08-08:00,exe_only,69632,0,PS1: Prioritize essential Johnny sprites in BMP decompression
70,4cf37203,2025-12-21T07:14:47-08:00,exe_only,69632,0,PS1: ADS/TTM animation system working with sprite rendering
71,35156e6d,2025-12-21T07:49:08-08:00,exe_only,69632,0,🎮 MILESTONE: PS1 instant title screen loading
72,a157ca4b,2025-12-21T08:34:18-08:00,exe_only,69632,0,Fix title screen + ADS playback working together
73,7a5e32fd,2025-12-21T10:07:04-08:00,exe_only,69632,0,Add HOLIDAY and CLOUDS BMPs to essential list for sprite rendering
74,168fd491,2025-12-21T18:11:06-08:00,exe_only,67584,0,"Clean up debug code, document findings for PS1 port"
75,3016ef19,2025-12-21T18:13:43-08:00,exe_only,67584,0,Fix background clearing - disable isbg for single-buffer mode
76,b33a62a3,2025-12-21T18:50:34-08:00,exe_only,45056,0,Fix BMP sprite VRAM uploads - key breakthrough
77,2da30b47,2025-12-21T18:57:46-08:00,exe_only,45056,0,Fix grDrawSprite UV calculation for 4-bit textures
78,89440dcb,2025-12-22T14:06:47-08:00,exe_only,45056,0,🎮 MILESTONE: PS1 sprite rendering fully working!
79,efadb1a7,2025-12-23T11:51:39-08:00,exe_only,43008,0,🎮 MILESTONE: OT primitives rendering over LoadImage background!
80,28551aad,2025-12-23T12:22:15-08:00,exe_only,43008,0,WIP: Animated sprite placeholder over 60fps background
81,e34c1a3a,2025-12-23T13:55:14-08:00,exe_only,43008,0,Fix grLoadBmp breaking OT rendering - root cause discovered
82,1c34f343,2025-12-23T13:57:49-08:00,exe_only,45056,0,🎮 MILESTONE: Textured BMP sprites rendering on PS1!
83,7a1b0cf0,2025-12-23T14:07:51-08:00,exe_only,43008,0,"Simplify BMP loading, remove printf calls"
84,a3b89f81,2025-12-24T08:32:04-08:00,exe_only,45056,0,Add magenta transparency and BMP selection for PS1 sprites
85,4f61f8c2,2025-12-24T08:43:12-08:00,exe_only,45056,0,Add multi-frame sprite animation support for PS1
86,4662d04b,2025-12-24T09:05:32-08:00,exe_only,45056,0,Increase animation frame limit to 8
87,6ecd5615,2025-12-24T09:09:55-08:00,exe_only,45056,0,Add island sprite rendering (WIP - colors need fixing)
88,f6e7e346,2025-12-24T12:48:03-08:00,exe_only,45056,0,🎮 MILESTONE: Fix sprite animation texture wrapping on PS1
89,4ce0d348,2025-12-25T20:07:13-08:00,failed,0,0,🏝️ MILESTONE: Island sprites rendering on PS1 via framebuffer blit
90,d1c3d6f7,2025-12-25T20:32:19-08:00,failed,0,0,🏝️ Fix island sprite transparency on PS1
91,483f9c63,2025-12-25T20:35:45-08:00,failed,0,0,Fix black pixels becoming transparent in palette
92,3989f3f1,2025-12-25T20:37:49-08:00,failed,0,0,Fix 4-bit texture nibble ordering for PS1
93,b5a1c120,2025-12-25T21:06:12-08:00,exe_only,45056,0,Fix fontID linkage for PS1 debug display
94,10793c8f,2025-12-25T21:25:11-08:00,exe_only,47104,0,🎮 MILESTONE: On-demand BMP loading working on PS1
95,c0f05099,2025-12-26T10:24:14-08:00,exe_only,47104,0,Add ps1_streamRead for memory-efficient dynamic loading
96,dd00719a,2025-12-26T10:26:02-08:00,exe_only,47104,0,Add ps1_wrapBuffer to use buffers with decompress functions
97,48d475bb,2025-12-26T10:28:00-08:00,exe_only,47104,0,Use streaming reads in ps1_loadBmpData
98,03039edd,2025-12-26T10:30:38-08:00,exe_only,47104,0,Test streaming dynamic BMP loading with JOHNWALK.BMP
99,4241cd66,2025-12-26T18:00:14-08:00,exe_only,47104,0,"Add multi-tile sprite infrastructure (rendering only, no loading yet)"
100,748d8f5e,2025-12-27T10:04:03-08:00,exe_only,47104,0,Document multi-tile rendering breakthrough - VRAM collision identified
101,4eac14c0,2025-12-27T10:20:52-08:00,exe_only,47104,0,Document multi-tile trials 10-12: 128px rows and 6-frame limit failures
102,b3f86930,2025-12-27T10:32:38-08:00,exe_only,47104,0,Fix addPrim order: 2-frame multi-tile sprites now work
103,4ad0e743,2025-12-27T10:51:18-08:00,exe_only,47104,0,"Checkpoint: 2-frame multi-tile works, 3+ breaks"
104,dc36f7b1,2025-12-27T11:05:50-08:00,exe_only,47104,0,"Milestone: 3 frames work, 2 bottom tiles work, 3rd breaks"
105,26e02eb6,2025-12-27T17:21:04-08:00,exe_only,47104,0,Multi-tile sprites: 3 frames with feet working (DrawSync fix)
106,8c16610a,2025-12-29T06:51:46-08:00,exe_only,51200,0,WIP: Debug session - more frames loading but island/feet broken
107,da4ad08f,2025-12-29T17:53:15-08:00,exe_only,47104,0,RAM-based rendering: All 42 animation frames load (background corruption WIP)
108,8a1048e6,2025-12-30T09:03:36-08:00,exe_only,49152,0,"Milestone: All 42 Johnny frames render, bg stable, frames overlap"
109,8b03359d,2025-12-30T09:19:52-08:00,exe_only,47104,0,MAJOR MILESTONE: Johnny walks on island with proper frame wiping!
110,218ef15a,2025-12-30T09:24:37-08:00,exe_only,47104,0,Fix animation timing: 12 FPS instead of 4 FPS
111,7b86b49c,2025-12-30T09:57:09-08:00,success,47104,2170896,chore: Reorganize repository structure
112,bd34be6c,2025-12-30T10:22:00-08:00,success,47104,7963872,feat(ps1): Switch to pre-extracted resources for faster loading
113,3664f7d7,2025-12-30T10:52:25-08:00,success,47104,7963872,"fix(ps1): Simplify SCR loading, improve BMP loading robustness"
114,d01a8159,2025-12-30T10:55:33-08:00,success,47104,7963872,chore: Add release.sh script and VERSION file
114,37b1ef3c,2026-01-10T21:06:39-08:00,success,57344,8295504,fix(ps1): Wrap sprite indices to handle 16-frame cap
115,37b1ef3c,2026-01-10T21:06:39-08:00,success,57344,8295504,fix(ps1): Wrap sprite indices to handle 16-frame cap
115,b82eb8bb,2026-01-10T22:46:41-08:00,success,61440,8335488,"feat(ps1): Add ADS scene support, fix VSync timing"
116,b82eb8bb,2026-01-10T22:46:41-08:00,success,61440,8335488,"feat(ps1): Add ADS scene support, fix VSync timing"
116,632e8bbb,2026-01-10T22:50:28-08:00,success,61440,8335488,fix(ps1): Load ocean background before animation to fix black bar
117,632e8bbb,2026-01-10T22:50:28-08:00,success,61440,8335488,fix(ps1): Load ocean background before animation to fix black bar
117,65735e14,2026-01-10T22:56:20-08:00,success,63488,8337840,"fix(ps1): Zero sprite pointers in ttmInitSlot, test GJHOT.TTM"
118,65735e14,2026-01-10T22:56:20-08:00,success,63488,8337840,"fix(ps1): Zero sprite pointers in ttmInitSlot, test GJHOT.TTM"
118,0bf13f72,2026-01-10T23:01:04-08:00,success,63488,8337840,fix(ps1): Initialize nextTile to NULL in all PS1Surface allocations
119,0bf13f72,2026-01-10T23:01:04-08:00,success,63488,8337840,fix(ps1): Initialize nextTile to NULL in all PS1Surface allocations
119,538e3ce2,2026-01-25T20:21:46-08:00,success,61440,8335488,"fix(ps1): Reduce sprite memory, remove debug markers, document issues"
120,538e3ce2,2026-01-25T20:21:46-08:00,success,61440,8335488,"fix(ps1): Reduce sprite memory, remove debug markers, document issues"
120,71f1d352,2026-02-07T08:55:53-08:00,success,86016,8363712,"feat(ps1): Enable storyPlay scene loop, implement grFadeOut, fix sprite persiste"
121,71f1d352,2026-02-07T08:55:53-08:00,success,86016,8363712,"feat(ps1): Enable storyPlay scene loop, implement grFadeOut, fix sprite persiste"
121,37765bcf,2026-02-07T15:29:54-08:00,success,86016,8363712,"feat(ps1): Random scene selection, crash-safe resource loading, walk sprite clea"
122,37765bcf,2026-02-07T15:29:54-08:00,success,86016,8363712,"feat(ps1): Random scene selection, crash-safe resource loading, walk sprite clea"
122,1f97b08c,2026-02-07T18:17:08-08:00,success,88064,8507184,"feat(ps1): SPU audio, fix sprite blink, fix scene variety, fix black backgrounds"
123,1f97b08c,2026-02-07T18:17:08-08:00,success,88064,8507184,"feat(ps1): SPU audio, fix sprite blink, fix scene variety, fix black backgrounds"
123,5dbcdd16,2026-02-07T20:17:01-08:00,success,88064,8507184,fix(ps1): Fix black ocean by freeing tiles before SCR reload
124,5dbcdd16,2026-02-07T20:17:01-08:00,success,88064,8507184,fix(ps1): Fix black ocean by freeing tiles before SCR reload
124,a87aa57f,2026-02-07T21:19:38-08:00,success,86016,8504832,"release: v0.3.3-ps1 - Fix ADS scene loading, skip broken LZW decompression"
125,a87aa57f,2026-02-07T21:19:38-08:00,success,86016,8504832,"release: v0.3.3-ps1 - Fix ADS scene loading, skip broken LZW decompression"
125,5ca5d741,2026-02-07T21:31:38-08:00,success,86016,8504832,fix(ps1): Fix sprite flickering by replacing cross-thread invalidation with safe
126,5ca5d741,2026-02-07T21:31:38-08:00,success,86016,8504832,fix(ps1): Fix sprite flickering by replacing cross-thread invalidation with safe
126,0a1cf18c,2026-02-19T09:26:54-08:00,success,86016,8504832,fix(ps1): improve compositing speed and stabilize walk sprite replay
127,0a1cf18c,2026-02-19T09:26:54-08:00,success,86016,8504832,fix(ps1): improve compositing speed and stabilize walk sprite replay
127,d3a4649e,2026-02-20T12:15:50-08:00,success,86016,8504832,fix(ps1): stabilize long-run sprites with zero-copy indexed frames
128,d3a4649e,2026-02-20T12:15:50-08:00,success,86016,8504832,fix(ps1): stabilize long-run sprites with zero-copy indexed frames
128,55bf4240,2026-03-04T14:11:36-08:00,failed,0,0,Commit PS1 telemetry bar implementation and scene diagnostics
129,6090a735,2026-03-04T14:09:31-08:00,success,86016,8504832,Add PS1 debug-bar screenshot decoder tool
129,12fdc519,2026-03-10T14:31:12-07:00,failed,0,0,PS1: intermediate black screen fixed
130,55bf4240,2026-03-04T14:11:36-08:00,failed,0,0,Commit PS1 telemetry bar implementation and scene diagnostics
130,0432a49b,2026-03-18T08:16:24-07:00,success,104448,34647312,Add PS1 pack pipeline and STAND restore pilot
131,12fdc519,2026-03-10T14:31:12-07:00,failed,0,0,PS1: intermediate black screen fixed
131,3d6fafa7,2026-03-18T08:39:09-07:00,success,104448,34647312,Add JOHNNY restore pilot and multi-pilot table
132,0432a49b,2026-03-18T08:16:24-07:00,success,104448,34647312,Add PS1 pack pipeline and STAND restore pilot
132,81c1dcc3,2026-03-18T09:02:27-07:00,success,106496,34649664,Prime PS1 pilot scene resources from generated specs
133,3d6fafa7,2026-03-18T08:39:09-07:00,success,104448,34647312,Add JOHNNY restore pilot and multi-pilot table
133,365ebb1a,2026-03-20T13:56:30-07:00,success,110592,34654368,Advance PS1 restore rollout and narrow pilot priming
134,81c1dcc3,2026-03-18T09:02:27-07:00,success,106496,34649664,Prime PS1 pilot scene resources from generated specs
134,6dae8410,2026-03-21T09:02:06-07:00,success,112640,34656720,Fix PS1 first-handoff blackscreen
135,365ebb1a,2026-03-20T13:56:30-07:00,success,110592,34654368,Advance PS1 restore rollout and narrow pilot priming
135,21ada788,2026-03-21T12:01:27-07:00,success,112640,38904432,Add PSB sprite transcoder: pre-swap nibbles offline for PS1
136,6dae8410,2026-03-21T09:02:06-07:00,success,112640,34656720,Fix PS1 first-handoff blackscreen
136,d85aa389,2026-03-21T12:04:38-07:00,success,116736,38909136,Merge branch 'worktree-agent-a0c0294b' into ps1
137,21ada788,2026-03-21T12:01:27-07:00,success,112640,38904432,Add PSB sprite transcoder: pre-swap nibbles offline for PS1
137,4ce9d46f,2026-03-21T12:42:43-07:00,success,122880,38916192,Add PSB-backed scene packs and refresh restore artifacts
138,d85aa389,2026-03-21T12:04:38-07:00,success,116736,38909136,Merge branch 'worktree-agent-a0c0294b' into ps1
138,f2c33ca3,2026-03-21T17:15:34-07:00,success,122880,38916192,"PS1 micro-optimizations: dirty-rect, palette LUT, compositing merge, hash lookup"
139,4ce9d46f,2026-03-21T12:42:43-07:00,success,122880,38916192,Add PSB-backed scene packs and refresh restore artifacts
139,bfce49c7,2026-03-21T21:07:39-07:00,success,122880,38916192,"Fix PS1 audio: correct ADSR, key-off before reuse, L1+SELECT mute"
140,f2c33ca3,2026-03-21T17:15:34-07:00,success,122880,38916192,"PS1 micro-optimizations: dirty-rect, palette LUT, compositing merge, hash lookup"
140,b4476f3d,2026-03-22T10:28:49-07:00,success,131072,38925600,"Add pause menu, game features, closed captions, and accessibility stubs"
141,84021fb6,2026-03-21T20:10:23-07:00,success,122880,38916192,"Add headless regtest harness, test instrumentation, refresh docs and research ar"
141,a64524c4,2026-03-28T09:05:42-07:00,failed,0,0,Add canonical host baseline reference corpus
142,bfce49c7,2026-03-21T21:07:39-07:00,success,122880,38916192,"Fix PS1 audio: correct ADSR, key-off before reuse, L1+SELECT mute"
142,5b776e5a,2026-03-29T10:25:13-07:00,success,122880,38916192,Restore clean buildable state from f2c33ca3
143,2069f333,2026-03-22T07:33:27-07:00,success,122880,38916192,Add visual scene and sprite detection system for automated testing
143,69432ead,2026-03-29T10:27:58-07:00,success,122880,38916192,Add story single boot mode for exact-scene PS1 testing
144,b4476f3d,2026-03-22T10:28:49-07:00,success,131072,38925600,"Add pause menu, game features, closed captions, and accessibility stubs"
144,4054755a,2026-03-29T12:04:01-07:00,success,122880,38916192,Add seed support and direct scene path for deterministic validation
145,a64524c4,2026-03-28T09:05:42-07:00,failed,0,0,Add canonical host baseline reference corpus
145,eadff0cf,2026-03-31T13:05:34-07:00,failed,0,0,Stabilize host truth expectations and reproducibility
146,7a3d4b49,2026-03-28T22:29:45-07:00,failed,0,0,Add HTML output for PS1 reference compares
146,5af4d855,2026-04-01T07:05:29-07:00,failed,0,0,Return saved-zone layer to the surface pool
147,5b776e5a,2026-03-29T10:25:13-07:00,success,122880,38916192,Restore clean buildable state from f2c33ca3
147,c82c1aac,2026-04-01T07:09:04-07:00,failed,0,0,Increase host surface pool headroom for deterministic capture
148,69432ead,2026-03-29T10:27:58-07:00,success,122880,38916192,Add story single boot mode for exact-scene PS1 testing
148,a380385d,2026-04-02T13:14:09-07:00,failed,0,0,Fix host exact ADS capture initialization
149,d3b36ccc,2026-03-29T10:30:04-07:00,success,122880,38916192,Update regtest timing: 9000 frames (150 sec) for scene content
149,6e1ad81c,2026-04-02T15:39:20-07:00,failed,0,0,Disable random island clouds during scripted capture
150,4054755a,2026-03-29T12:04:01-07:00,success,122880,38916192,Add seed support and direct scene path for deterministic validation
150,66a08b26,2026-04-02T15:55:20-07:00,failed,0,0,Honor island state overrides during host capture
151,9d8ef531,2026-03-29T12:05:36-07:00,success,122880,38916192,Add local vision classifier reference pipeline
151,51d23290,2026-04-02T16:39:38-07:00,failed,0,0,Add forced story-day override for host capture
152,0fadf79d,2026-03-29T12:53:17-07:00,success,122880,38916192,Expand vision pipeline publishing artifacts
152,bf74f26b,2026-04-02T17:00:23-07:00,failed,0,0,Fix host story direct scene boot parsing
153,eadff0cf,2026-03-31T13:05:34-07:00,failed,0,0,Stabilize host truth expectations and reproducibility
153,3ef33aff,2026-04-02T17:06:29-07:00,failed,0,0,Initialize story state for direct scene boot
154,437895b8,2026-03-31T13:21:02-07:00,failed,0,0,Add refresh command for strict host truth review
154,4f3080fb,2026-04-02T17:15:49-07:00,failed,0,0,Set scene offsets for direct story playback
155,7e29e0e7,2026-03-31T13:39:12-07:00,failed,0,0,Harden host scene capture validation and timeouts
155,da881f2e,2026-04-02T17:31:29-07:00,failed,0,0,Run lead-in context for requested final story scenes
156,25630be3,2026-03-31T13:48:16-07:00,failed,0,0,Isolate host review refresh from stale capture processes
156,10676344,2026-04-02T18:00:25-07:00,failed,0,0,Honor explicit scene day during host capture
157,5569018e,2026-03-31T13:58:23-07:00,failed,0,0,Clean refresh temp state and orphaned Xvfb
157,f320539f,2026-04-02T18:22:48-07:00,failed,0,0,Add raft stage override for host capture
158,7719b911,2026-03-31T14:08:30-07:00,failed,0,0,Add canonical host review verification summary
158,56cd2a11,2026-04-02T18:37:51-07:00,failed,0,0,Add scene offset override for host capture
159,d92d45ce,2026-03-31T14:18:36-07:00,failed,0,0,Add stable digest to host review verification summary
159,62766f0e,2026-04-02T19:16:20-07:00,failed,0,0,Remap MARY 1 capture and stop at final frame
160,8eea65d6,2026-03-31T14:21:01-07:00,failed,0,0,Refuse refresh on dirty tracked host review inputs
160,8ba4f0e5,2026-04-02T20:27:56-07:00,failed,0,0,Add capture prelude for remapped story scenes
161,00367d90,2026-03-31T14:31:26-07:00,failed,0,0,Add read-only host review verifier
161,e0221d6b,2026-04-02T22:21:44-07:00,success,124928,38918544,Add overlay-backed PS1 screenshot checks
162,8165b566,2026-03-31T14:41:00-07:00,failed,0,0,Emit one-line host review verification summary
162,119b8eb7,2026-04-03T08:04:51-07:00,success,129024,38923248,Harden headless PS1 screenshot harness boot path
163,995926bb,2026-03-31T14:51:13-07:00,failed,0,0,Add negative test for host review verifier
163,d25f447a,2026-04-03T09:23:24-07:00,success,129024,38923248,Move PS1 capture overlay into visible headless viewport
164,6b4a89b9,2026-03-31T15:01:30-07:00,failed,0,0,Add head-mismatch negative test for host review verifier
164,a414bf57,2026-04-03T09:36:57-07:00,success,131072,38925600,Add PS1 overlay mask baseline capture mode
165,93682af5,2026-03-31T15:11:59-07:00,failed,0,0,Compile deterministic semantic truth from host metadata
165,683c57d3,2026-04-03T11:18:10-07:00,success,131072,38925600,Fix PS1 overlay frame composition and panel placement
166,de95b66b,2026-03-31T15:21:55-07:00,failed,0,0,Enrich host semantic truth with states and reasons
166,15a2bc1f,2026-04-03T11:40:50-07:00,success,131072,38925600,Use PS1 actor markers to recover character identity
167,a297794e,2026-03-31T15:32:03-07:00,failed,0,0,Add scene signatures and transition semantics
167,eaef5bdb,2026-04-03T14:13:29-07:00,success,131072,38925600,Recover coarse PS1 overlay positions from actor panel
168,304fbd34,2026-03-31T15:41:57-07:00,failed,0,0,Add identification tokens to semantic truth
168,90ba67c5,2026-04-03T14:44:32-07:00,success,131072,38925600,Fix PS1 boot override parsing for overlay harness
169,b21f1152,2026-03-31T15:52:33-07:00,failed,0,0,Add semantic scene identification selfcheck
169,9710b128,2026-04-03T18:11:00-07:00,success,131072,38925600,Skip PS1 title screen for scripted boot overrides
170,ecc2b628,2026-03-31T16:02:18-07:00,failed,0,0,Require explicit identified status in scene matcher
170,c15ffd66,2026-04-03T19:31:29-07:00,success,131072,38925600,Add PS1 capture mode runtime marker
171,ed625ffe,2026-03-31T16:14:46-07:00,failed,0,0,Enforce identification confusion audit in host review
171,26f8fff3,2026-04-03T21:42:39-07:00,success,131072,38925600,Fix PS1 scripted boot graphics initialization
172,aa848207,2026-03-31T16:23:26-07:00,failed,0,0,Require ratio separation in scene identification audit
172,d27129fb,2026-04-04T02:59:04-07:00,success,133120,38927952,Parse PS1 boot scene modifiers
173,5c180389,2026-03-31T16:35:42-07:00,failed,0,0,Audit partial-timeline scene identification robustness
173,053ff31c,2026-04-04T03:17:06-07:00,success,135168,38930304,Add fishing restore pilot to PS1 header
174,f7125dd0,2026-03-31T16:54:59-07:00,failed,0,0,Require rejection of low-signal challenge queries
174,4ac4aea0,2026-04-04T04:49:54-07:00,success,135168,38930304,Support tagged direct TTM boots on PS1
175,7b4f6fa2,2026-03-31T17:14:12-07:00,failed,0,0,Audit temporal stability of scene identification
175,3a6d6f55,2026-04-04T05:07:12-07:00,success,135168,38930304,Initialize ADS scene state for direct TTM boots
176,c05fe759,2026-03-31T17:23:41-07:00,failed,0,0,Weight active-frame evidence in scene matching
176,0166fa85,2026-04-04T06:39:57-07:00,success,135168,38930304,Apply PS1 island boot overrides before direct boots
